Newcastle City Council Invoices over £250 paid in February 2016,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFBL,Byker Lodge,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFC8,Gosforth Park First,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFT4,Thomas Bewick Cateri,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFC4,South Gosforth First,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFE9,St Josephs RC Prim,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFWC,Welford Day Centre,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFJ9,St Albans RC Primary,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFJ7,Hotspur Primary,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFCL,Connie Lewcock House,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFL3,Welbeck Road Academy,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFB1,Lemington Riverside Primary,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KJ94,Security Services Delegated,"75,122.46",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL2B,Eldon Leisure,"87,642.87",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFR6,Benfield Comp,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MB22,Initial Response Service,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MR05,Information Technology,"262,928.61",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MF02,16+ Team,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1CC24,Telecoms,"125,204.10",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KE15,Waste Disposal Byker,"37,561.23",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT03,Denmark Street Industrial Est,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1CR32,Council Tax & Sundry Debt,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1HP93,Comm. Centres - N/B/H,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KJ01,Security Overheads,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFK4,St Oswalds RC Prim,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT14,Walker Riverside Ind Units,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DZW1,Mill Lane Ind. Est.,"37,561.23",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFS1,Walker Technology College,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KKT4,Council Suites,"75,122.46",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MX06,Community Reablement,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT11,St Michaels Workshops,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT10,Riversdales Court Ind Est,"50,081.64",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DY54,Blackfriars,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1CC52,Denton CSC,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MX01,Welford Resource Centre LD,"87,642.87",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL1H,Keilder Cabins,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MX17,One Bill Error,"488,295.99",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KELD,Planned Maintenance Sunderland,"50,081.64",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DQ9L,S&M Trinity Kenton Lodge,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KKX3,FSCM - Corporate Credit Card,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT02,Ayton St Workshops,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DV06,Great North Road,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KHD8,Heaton Park Depot,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL6C,Leazes Park,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1FR07,Soft FM Holding Account,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL64,Heaton Park Building,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KEWM,Ayton Street Depot,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1DT07,Hawick Cres Industrial Estate,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL1C,Outer West Pool,"50,081.64",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL6H,Tyne Riverside Country Park,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KR8E,Build Surv Team,"50,081.64",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KEWK,Other Cleansing Depot,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFH5,Westgate Hill Foster,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1FC43,Cee West Team,"25,040.82",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KKP1,Public Conv O/H,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KFN7,Gosforth Junior High Academy,"12,520.41",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1KL1G,Gosforth Pool,"50,081.64",
Chief Executive's,Utilities - NCC                        ,Revenue Expenditure,11-Feb-16,AZZURRI COMMUNICATIONS LTD,6827062,Revenue,1MM01,Assess & Care Management MH,"12,520.41",
Children's Services,Invoice,Revenue Expenditure,23-Feb-16,AZZURRI COMMUNICATIONS LTD,6837373,Revenue,4RX01,General Fund,"2,223.44",
Chief Executive's,CD - Regional & European Prog    ,Revenue Expenditure,26-Feb-16,B2B NORTH LTD,6821634,Revenue,1FN15,NE Youth Employment Programme,840.00,
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,BAB ACCOMODATION LTD,6824604,Revenue,1MF01,16+ Team (YP),"6,800.00",
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,12-Feb-16,BAB ACCOMODATION LTD,6828482,Revenue,1MF01,16+ Team (YP),"114,457.12",
Chief Executive's,CD - Accountancy                 ,Revenue Expenditure,26-Feb-16,BABCOCK 4S LTD,6832703,Revenue,1FF51,Finance,460.80,
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,24-Feb-16,BAILEYS BLINDS,6840667,Revenue,1KVWC,Minor Works Contracts,"4,900.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,BAILIFFGATE,6824863,Revenue,1MK20,Residential Care LD,"2,136.44",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,09-Feb-16,BAILIFFGATE,6824863,Revenue,1MK20,Residential Care LD,"2,136.44",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MG10,Nursing Care OP,"5,158,850.87",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MG20,Residential Care OP,"918,699.47",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MK10,Nursing Care LD,"70,669.19",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MM10,Nursing Care MH,"70,669.19",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MM20,Residential Care MH,"70,669.19",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MG10,Nursing Care OP,"848,030.28",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,BALMORAL COURT,6838424,Revenue,1MG20,Residential Care OP,"353,345.95",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,BALMORAL JOINERY,6837464,Revenue,1DR03,Grainger Market,"3,633.60",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,BALMORAL JOINERY,6837472,Revenue,1DV01,1 Charlotte Square,414.00,
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,BALMORAL JOINERY,6843229,Revenue,1XB30,Newcastle Repairs & MaintenanC,336.00,
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,26-Feb-16,BALMORAL JOINERY,6843232,Revenue,1DY54,Blackfriars,768.00,
Environment & Regeneration,Allendale Building                     ,Revenue Expenditure,17-Feb-16,BALMORAL JOINERY,6832402,Revenue,1KVWC,Minor Works Contracts,"5,568.00",
Adult and Culture,Social Services                        ,Revenue Expenditure,04-Feb-16,BALTIC FLOUR MILLS VISUAL ARTS TRUST,6812853,Revenue,1DF71,High Bridge Studios & Gallery,"15,000.00",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Feb-16,BANKS OF THE WEAR LTD,6834497,Revenue,1MX50,Crisis Response Block Gross,"1,338.40",
Adult and Culture,Social Services-Care Support           ,Revenue Income,19-Feb-16,BANKS OF THE WEAR LTD,6834497,Revenue,4RX01,General Fund,"1,338.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,BARCHESTER HEALTHCARE,6824895,Revenue,1MK20,Residential Care LD,"13,092.00",
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,BARNARDOS,6824605,Revenue,1MC22,IND Sector Foster Carer Costs,"3,920.00",
Children's Services,Childrens Services Support       ,Revenue Expenditure,23-Feb-16,BARNARDOS NORTH EAST,6836679,Revenue,1MD72,Citywide Family Support,"1,346.72",
Children's Services,Childrens Services Support       ,Revenue Expenditure,24-Feb-16,BARNARDOS NORTH EAST,6837250,Revenue,1MD66,CWD Care Packages,"1,043.00",
Children's Services,Childrens Services Support       ,Revenue Expenditure,24-Feb-16,BARNARDOS NORTH EAST,6837253,Revenue,1MD66,CWD Care Packages,448.00,
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Feb-16,BARNARDO'S NORTH EAST,6834490,Revenue,1MX19,Domestic Violence,"15,918.56",
Children's Services,Int Childhood Services     ,Revenue Expenditure,24-Feb-16,BARNARDO'S NORTH EAST,6834542,Revenue,1MD72,Citywide Family Support,"261,592.00",
Adult and Culture,Social Services                        ,Revenue Expenditure,11-Feb-16,BARTS HEALTH NHS TRUST,6827609,Revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,303.40,
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,19-Feb-16,BASELINE SHIFT,6826102,Capital,2DP02,Devt Capital CC,"3,821.28",
Environment & Regeneration,Cityworks City Hall        ,Revenue Expenditure,12-Feb-16,BAUER ADVERTISING LTD,6827338,Revenue,1KL3A,City Hall,"1,080.00",
Environment & Regeneration,NS: Capital Works          ,Current Assets,26-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6819623,Revenue,4RX01,General Fund,303.44,
Environment & Regeneration,Allendale Building                     ,Current Assets,05-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6819810,Revenue,4RX01,General Fund,734.98,
Environment & Regeneration,Allendale Rd                           ,Current Assets,17-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6811183,Revenue,4RX01,General Fund,371.22,
Environment & Regeneration,Allendale Rd                           ,Current Assets,17-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6811184,Revenue,4RX01,General Fund,519.60,
Environment & Regeneration,Allendale Rd                           ,Current Assets,17-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6811213,Revenue,4RX01,General Fund,423.90,
Environment & Regeneration,Allendale Rd                           ,Current Assets,17-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6824652,Revenue,4RX01,General Fund,621.01,
Environment & Regeneration,Allendale Rd                           ,Current Assets,17-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6824654,Revenue,4RX01,General Fund,595.79,
Environment & Regeneration,Allendale Rd                           ,Current Assets,26-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6819620,Revenue,4RX01,General Fund,496.38,
Environment & Regeneration,Allendale Rd                           ,Current Assets,26-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6819625,Revenue,4RX01,General Fund,573.38,
Environment & Regeneration,Allendale Rd                           ,Current Assets,04-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6801283,Revenue,4RX01,General Fund,544.00,
Environment & Regeneration,Allendale Rd                           ,Current Assets,04-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6801285,Revenue,4RX01,General Fund,599.63,
Environment & Regeneration,Allendale Rd                           ,Current Assets,04-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6802901,Revenue,4RX01,General Fund,482.06,
Environment & Regeneration,Allendale Rd                           ,Current Assets,04-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6802902,Revenue,4RX01,General Fund,467.60,
Environment & Regeneration,Allendale Rd                           ,Current Assets,04-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6802904,Revenue,4RX01,General Fund,348.72,
Environment & Regeneration,Allendale Rd                           ,Current Assets,10-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6805546,Revenue,4RX01,General Fund,429.56,
Environment & Regeneration,Allendale Rd                           ,Current Assets,10-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6823815,Revenue,4RX01,General Fund,604.49,
Environment & Regeneration,Allendale Rd                           ,Current Assets,10-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6823816,Revenue,4RX01,General Fund,506.45,
Environment & Regeneration,Allendale Rd                           ,Current Assets,10-Feb-16,BB TRADE KITCHENS & BEDROOMS LTD,6824663,Revenue,4RX01,General Fund,457.55,
HRA,HRA Planning QS            ,Capital Expenditure,19-Feb-16,BC ASSOCIATES NORTHERN,6835307,Capital,2HE01,Capital Citywide,"6,905.98",
Adult and Culture,Social Services                        ,Revenue Expenditure,15-Feb-16,BEDEBURN,6829403,Revenue,1MC41,Bedeburn Short Break Unit,"4,579.45",
Adult and Culture,Social Services                        ,Revenue Expenditure,01-Feb-16,BEDEBURN,6816712,Revenue,1MC41,Bedeburn Short Break Unit,"4,126.32",
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,09-Feb-16,BELL DECORATING GROUP,6824692,Revenue,1KVWC,Minor Works Contracts,766.63,
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,17-Feb-16,BELL TRUCK SALES LTD,6814429,Revenue,1KESA,Heavy Workshop Routine Repair,559.44,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BELLE VUE HOUSE,6838429,Revenue,1MG10,Nursing Care OP,"519,578.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BELLE VUE HOUSE,6838429,Revenue,1MG20,Residential Care OP,"141,703.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,BELLE VUE HOUSE,6838497,Revenue,1MG10,Nursing Care OP,616.56,
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,BELLE VUE HOUSE,6838429,Revenue,1MG10,Nursing Care OP,"125,958.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,BELLE VUE HOUSE,6838429,Revenue,1MG20,Residential Care OP,"78,724.00",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,08-Feb-16,BENFIELD PARK MEDICAL GROUP,6822962,Revenue,1ML10,PH - Sexual health -C'ception,"4,115.78",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,08-Feb-16,BENFIELD PARK MEDICAL GROUP,6822962,Revenue,1ML03,PH - NHS Health Checks,"4,115.78",
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,26-Feb-16,BENTON AUTO ELECTRICS,6823345,Revenue,1KESA,Heavy Workshop Routine Repair,391.20,
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,12-Feb-16,BERENDSEN,6828282,Revenue,1KENB,Fleet Workshops OH,"1,113.88",
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,26-Feb-16,BERENDSEN,6828283,Revenue,1KENB,Fleet Workshops OH,"1,499.30",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,08-Feb-16,BETTS AVENUE MEDICAL CENTRE,6822943,Revenue,1ML10,PH - Sexual health -C'ception,704.20,
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,08-Feb-16,BIDDLESTONE HEALTH GROUP,6822946,Revenue,1ML11,PH - Smoking & Tobacco,"2,356.21",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,08-Feb-16,BIDDLESTONE HEALTH GROUP,6822946,Revenue,1ML10,PH - Sexual health -C'ception,"7,068.63",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,BISHOPSGATE LODGE CARE HOME,6824914,Revenue,1MG20,Residential Care OP,"1,309.64",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,09-Feb-16,BISHOPSGATE LODGE CARE HOME,6824914,Revenue,1MG20,Residential Care OP,"1,309.64",
Environment & Regeneration,E&R-Highway&Traffic Management   ,Revenue Expenditure,02-Feb-16,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,6813161,Revenue,1KE92,Christmas Lights,"3,912.30",
Environment & Regeneration,NS: Admin & Finance        ,Revenue Expenditure,26-Feb-16,BLACKWELL'S BOOKSHOP,6761945,Revenue,1KVWC,Minor Works Contracts,283.80,
Environment & Regeneration,Cityworks Parks & C/side   ,Revenue Expenditure,16-Feb-16,BLAKELAW JUNIORS,6830254,Revenue,1KL6J,Blakelaw Park,"7,920.00",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Revenue Expenditure,25-Feb-16,BLAKELAW WARD COMMUINTY PARTNERSHIP,6841654,Revenue,1KN54,Woolsington Ward,"9,573.00",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Revenue Expenditure,25-Feb-16,BLAKELAW WARD COMMUINTY PARTNERSHIP,6841655,Revenue,1KN54,Woolsington Ward,"10,129.00",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Revenue Expenditure,03-Feb-16,BLANCCO UK,6819312,Revenue,1CX50,Technical Refresh,"2,388.00",
Environment & Regeneration,EEC U/Design               ,Revenue Expenditure,23-Feb-16,BLIND SHOP,6827051,Revenue,1V073,Historic Monumnets,579.60,
Adult and Culture,Social Services                        ,Revenue Expenditure,04-Feb-16,BLUE LINE TAXIS,6820279,Revenue,1MC20,In-House Foster Carer Costs,644.00,
Adult and Culture,Social Services                        ,Revenue Expenditure,04-Feb-16,BLUE LINE TAXIS,6820281,Revenue,1MC20,In-House Foster Carer Costs,312.00,
Adult and Culture,Social Services                        ,Revenue Expenditure,03-Feb-16,BLUE LINE TAXIS,6819617,Revenue,1MC20,In-House Foster Carer Costs,665.00,
Adult and Culture,Social Services                        ,Revenue Expenditure,03-Feb-16,BLUE LINE TAXIS,6819619,Revenue,1MC20,In-House Foster Carer Costs,546.00,
Adult and Culture,Social Services                        ,Revenue Expenditure,29-Feb-16,BLYTH STAR ENTERPRISES LIMITED,6843608,Revenue,1MM50,Home Care MH,"8,513.68",
Children's Services,Heaton Manor High School               ,Revenue Income,04-Feb-16,BNP PARIBAS LEASE GROUP (RENTALS) LTD,6819694,Revenue,4RX01,General Fund,"5,455.67",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Revenue Expenditure,19-Feb-16,BNP PARIBAS LEASING SOLUTIONS LTD,6835125,Revenue,1CX50,Technical Refresh,"78,588.25",
Adult and Culture,EEC Homeless               ,Revenue Expenditure,26-Feb-16,BOB CROSBY AGENCIES LTD,6835107,Revenue,1VH22,Temporary Accommodation Prem,"4,290.11",
Adult and Culture,Adult Serv Lewcock House   ,Revenue Expenditure,08-Feb-16,BOB CROSBY AGENCIES LTD,6820864,Revenue,1MG25,Connie Lewcock House OP,"3,863.88",
Chief Executive's,CD - Markets                     ,Revenue Expenditure,19-Feb-16,BOB CROSBY AGENCIES LTD,6825153,Revenue,1DR03,Grainger Market,330.72,
Chief Executive's,CD - Markets                     ,Revenue Expenditure,29-Feb-16,BOB CROSBY AGENCIES LTD,6722831,Revenue,1DR03,Grainger Market,732.14,
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,08-Feb-16,BOB CROSBY AGENCIES LTD,6820860,Revenue,1KH07,Regent Farm First,"5,173.80",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,08-Feb-16,BOB CROSBY AGENCIES LTD,6820863,Revenue,1KH94,Kenton Comprehensive,"2,688.63",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,08-Feb-16,BOB CROSBY AGENCIES LTD,6823189,Revenue,1KHT4,Kenton Centre,"4,132.70",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,12-Feb-16,BOB CROSBY AGENCIES LTD,6825173,Revenue,1KGN5,West Denton Community Centre,"8,134.42",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,12-Feb-16,BOB CROSBY AGENCIES LTD,6826323,Revenue,1KG33,Sacred Heart Primary,"8,807.19",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,12-Feb-16,BOB CROSBY AGENCIES LTD,6826327,Revenue,1KG96,Sacred Heart High Academy,"7,849.05",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,23-Feb-16,BOB CROSBY AGENCIES LTD,6834799,Revenue,1KH94,Kenton Comprehensive,445.44,
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,23-Feb-16,BOB CROSBY AGENCIES LTD,6834800,Revenue,1KHT4,Kenton Centre,"10,550.15",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,04-Feb-16,BOB CROSBY AGENCIES LTD,6813630,Revenue,1KH94,Kenton Comprehensive,"5,200.30",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,04-Feb-16,BOB CROSBY AGENCIES LTD,6813631,Revenue,1KN61,Ouseburn Ward,"19,787.04",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,18-Feb-16,BOB CROSBY AGENCIES LTD,6826295,Revenue,1KH94,Kenton Comprehensive,356.40,
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,18-Feb-16,BOB CROSBY AGENCIES LTD,6826606,Revenue,1KG72,Thomas Bewick,"6,029.64",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,15-Feb-16,BOB CROSBY AGENCIES LTD,6820768,Revenue,1KHT4,Kenton Centre,"3,519.30",
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,25-Feb-16,BOB CROSBY AGENCIES LTD,6835317,Revenue,1KH91,Benfield Comprehensive,"17,763.84",
